index_no,model,simulation,observer,scenario,run,step,time,agent_name,selected_predictor,predictor_fitness,predictor_prediction,my_play
0,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,0,2025-12-20T13:41,L60p_0,st_same_5w,0.9629475147830333,0,GOING
1,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,0,2025-12-20T13:41,L60p_1,st_same_5w,0.814507019500134,1,GOING
2,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,0,2025-12-20T13:41,L60p_2,st_round_avg_4w,0.705843218101977,1,GOING
3,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,0,2025-12-20T13:41,L60p_3,st_same_2w,0.8938013874077285,3,NOT GOING
4,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,0,2025-12-20T13:41,L60p_4,st_same_5w,0.7154201240664096,2,GOING
5,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,0,2025-12-20T13:41,L60p_5,st_trend_8w,0.4775049915972459,1,GOING
6,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,0,2025-12-20T13:41,L60p_6,st_trend_8w,0.49876102985917137,3,GOING
7,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,0,2025-12-20T13:41,L60p_7,st_same_lw,0.7396329806457408,1,GOING
8,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,0,2025-12-20T13:41,L60p_8,st_trend_8w,0.8121956725015911,2,GOING
9,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,0,2025-12-20T13:41,L60p_9,st_same_lw,0.9738002455122936,6,GOING
10,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,1,2025-12-20T13:41,L60p_0,st_same_5w,0.0,0,GOING
11,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,1,2025-12-20T13:41,L60p_1,st_same_5w,1.0,1,GOING
12,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,1,2025-12-20T13:41,L60p_2,st_round_avg_4w,1.0,0,GOING
13,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,1,2025-12-20T13:41,L60p_3,st_same_2w,0.3333333333333333,1,GOING
14,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,1,2025-12-20T13:41,L60p_4,st_same_5w,0.5,0,GOING
15,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,1,2025-12-20T13:41,L60p_5,st_trend_8w,1.0,0,GOING
16,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,1,2025-12-20T13:41,L60p_6,st_trend_8w,0.3333333333333333,0,GOING
17,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,1,2025-12-20T13:41,L60p_7,st_same_lw,1.0,0,GOING
18,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,1,2025-12-20T13:41,L60p_8,st_trend_8w,0.5,0,GOING
19,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,1,2025-12-20T13:41,L60p_9,st_same_lw,0.16666666666666666,0,GOING
20,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,2,2025-12-20T13:41,L60p_0,st_same_5w,0.03125,1,GOING
21,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,2,2025-12-20T13:41,L60p_1,st_same_5w,0.03125,2,NOT GOING
22,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,2,2025-12-20T13:41,L60p_2,st_round_avg_4w,0.030303030303030304,16,NOT GOING
23,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,2,2025-12-20T13:41,L60p_3,st_same_2w,0.029411764705882353,0,GOING
24,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,2,2025-12-20T13:41,L60p_4,st_same_5w,0.029411764705882353,1,GOING
25,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,2,2025-12-20T13:41,L60p_5,st_trend_8w,0.030303030303030304,16,NOT GOING
26,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,2,2025-12-20T13:41,L60p_6,st_trend_8w,0.02857142857142857,16,NOT GOING
27,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,2,2025-12-20T13:41,L60p_7,st_same_lw,0.030303030303030304,32,NOT GOING
28,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,2,2025-12-20T13:41,L60p_8,st_trend_8w,0.029411764705882353,16,NOT GOING
29,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,2,2025-12-20T13:41,L60p_9,st_same_lw,0.02631578947368421,32,NOT GOING
30,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,3,2025-12-20T13:41,L60p_0,st_same_5w,0.025,1,GOING
31,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,3,2025-12-20T13:41,L60p_1,st_same_5w,0.02564102564102564,2,NOT GOING
32,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,3,2025-12-20T13:41,L60p_2,st_round_avg_4w,0.025,14,NOT GOING
33,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,3,2025-12-20T13:41,L60p_3,st_same_2w,0.023255813953488372,32,NOT GOING
34,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,3,2025-12-20T13:41,L60p_4,st_same_5w,0.023809523809523808,3,GOING
35,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,3,2025-12-20T13:41,L60p_5,st_trend_8w,0.025,14,NOT GOING
